blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,longitude,latitude
106,C'WEALTH CRES,10,1964,Y,N,N,N,N,N,QT,99,0,0,0,0,0,0,0,0,0,99,0,0,103.815405,1.411574
106,CANBERRA ST,4,2016,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,103.832745,1.449174
106,CLEMENTI ST 12,4,1985,N,Y,N,N,N,N,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,103.769749,1.32192
106,GANGSA RD,10,1986,Y,N,N,N,N,N,BP,90,0,0,54,36,0,0,0,0,0,0,0,0,103.767412,1.377902
106,HENDERSON CRES,14,1973,Y,Y,N,Y,N,N,BM,130,0,0,0,130,0,0,0,0,0,0,0,0,103.822284,1.289531
106,HOUGANG AVE 1,4,1982,Y,Y,N,N,N,N,HG,51,0,0,41,9,0,0,0,0,0,0,1,0,103.890739,1.353785
106,JLN RAJAH,10,1983,Y,N,N,N,N,N,KWN,68,0,0,0,0,0,68,0,0,0,0,0,0,103.854847,1.328418
106,JLN BT MERAH,12,1967,Y,N,N,Y,N,N,BM,330,0,0,0,0,0,0,0,0,312,18,0,0,4.793794,50.887112
106,JLN DUSUN,9,1980,Y,N,N,Y,N,N,KWN,97,0,0,0,97,0,0,0,0,0,0,0,0,103.84391,1.328159
106,JURONG EAST ST 13,25,1982,Y,Y,N,N,N,N,JE,96,0,0,0,0,96,0,0,0,0,0,0,0,103.737685,1.337248
106,LENGKONG TIGA,9,1988,Y,N,N,N,N,N,BD,43,0,0,0,0,0,43,0,0,0,0,0,0,103.909924,1.325159
